Bytes_sent,Bytes_received
115199413026,115232075351
115199413026,115232077303
115199413026,115232077303
115199413026,115232077303
115199413026,115232077303
115199413026,115232077303
115199413026,115232077303
115201220636,115233876673
115201220636,115233876673
115201220636,115233876673
115201220636,115233876673
115201220916,115233877341
115201280440,115233878521
115201280440,115233878521
115201280440,115233878733
115201280440,115233878733
115201280440,115233878733
115203087192,115235678365
115203087192,115235678365
115203087192,115235678365
115203087192,115235678365
115203087192,115235678365
115203087192,115235678365
115203087192,115235678365
115203087192,115235678547
115203087192,115235678547
115203087192,115235678547
115204893416,115237477305
115204893416,115237477305
115204893416,115237477305
115204893416,115237477305
115204893416,115237477305
115206147260,115238728077
115206683660,115239262739
115206683660,115239262951
115206683660,115239262951
115206683660,115239262951
115208490544,115241062729
115208490544,115241062729
115208490544,115241062729
115208490544,115241062729
115208490544,115241062729
115210280326,115242847861
115210280326,115242847861
115210280326,115242847861
115210280326,115242847861
115211029656,115243624539
115212089652,115244649653
115212089736,115244649759
115212089736,115244649759
115212089736,115244649759
115212162448,115244722221
115213879518,115246436033
115213879518,115246436033
115213879518,115246436245
115213879518,115246436245
115215722228,115248271513
115216760856,115249307727
115217475194,115250019943
115217475194,115250019943
115217475194,115250019943
115217833786,115250377945
115219264514,115251805589
115219264514,115251805589
115219264514,115251805589
115219264514,115251805589
115221143314,115253677313
115222323988,115254855287
115222861180,115255390917
115222861180,115255390917
115222861180,115255390917
115223468968,115255997371
115224651490,115257176105
115224651490,115257176105
115224651490,115257176507
115224651490,115257176507
115226673990,115259189827
115227962744,115260475755
115228248090,115260760443
115228248090,115260760443
115228248090,115260760443
115229287246,115261797115
115230789692,115263295315
115231790310,115264294157
115231825938,115264329815
115231825938,115264329815
115234063790,115266560935
115235244730,115267740487
115235422802,115267918237
115235422802,115267918237
115235422802,115267918237
115236674501,115269168353
115238072674,115270562259
115239001442,115271489039
115239001442,115271489039
115239001442,115271489039
115241200762,115273680445
115242454606,115274930377
115242597910,115275073363
115242597910,115275073363
115242597910,115275073363
115244033336,115276505191
115245677494,115278144883
115246177342,115278643717
115246177342,115278643717
115246177342,115278643717
115248772530,115281229861
115250454042,115282906603
115251455784,115283905829
115251563064,115284012921
115251563064,115284012921
115253533694,115285978647
115254786100,115287227247
115255143024,115287583397
115255143024,115287583397
115255815728,115288264145
115258021256,115290452341
115259560058,115291987475
115260491270,115292915815
115260526898,115292951473
115260777416,115293201683
115262570632,115294989815
115263897054,115296312399
115264109960,115296525281
115264109960,115296525281
115265921002,115298328839
115267353204,115299759009
115268785102,115301187081
115269428584,115301829553
115269499708,115301900581
115269571096,115301971609
115272111062,115304505167
115273760889,115306153107
115274615236,115307004223
115274864632,115307253659
115276739212,115309122583
115278563430,115310941481
115279745886,115312121013
115280246988,115312620527
115280246988,115312620527
115281141516,115313512255
115282897858,115315263223
115284447078,115316832333
115285436610,115317795599
115285615212,115317974021
115287663242,115320016425
115289310380,115321659709
115290597412,115322944517
115290989384,115323336177
115290989384,115323336177
115291777098,115324122101
115293922034,115326260939
115295567720,115327902151
115296281732,115328615355
115296354124,115328687255
115298403542,115330731063
115300337042,115332660791
115302232434,115334551251
115303233912,115335550949
115303579816,115335837603
115304978222,115337233257
115306588848,115338838947
115308233966,115340481057
115308946456,115341192905
115308946456,115341192905
115311464052,115343702539
115313539914,115345773699
115314799040,115347027193
115315840702,115348065261
115316127834,115348350913
115317779990,115349995101
115319790930,115351997069
115321011324,115353213009
115321513482,115353713401
115321513482,115353713401
115324069280,115356258233
115326223658,115358404039
115327696288,115359871117
115328522330,115360692817
115328701526,115360871461
115330712948,115362873989
115332436604,115364589999
115334519924,115366665343
115335524372,115367666925
115336364410,115368535931
115339079476,115371211301
115340508814,115372637251
115342369852,115374494827
115343014802,115375137955
115343266402,115375388743
115345627444,115377743135
115347453778,115379564373
115348849276,115380957229
115349850688,115381956021
115350209080,115382313467
115353727276,115385827337
115355544080,115387649167
115356779878,115388891783
115357437352,115389548709
115358059410,115390178213
115360117890,115392239477
115362006396,115394133355
115363491230,115395621421
115364474886,115396609583
115364871784,115397008909
115366283920,115398420507
115368355192,115400497787
115370321260,115402467651
115371482896,115403629375
115372643901,115404826077
115375099914,115407266347
115376552246,115408712137
115378156494,115410317485
115379136552,115411305937
115379352700,115411523213
115381318154,115413491061
115383130714,115415308533
115384913636,115417100405
115385935302,115418124545
115386743586,115418934261
115389640502,115421836673
115391570094,115423772167
115392914632,115425119161
115393640666,115425849071
115394224770,115426436461
115396254147,115428477531
115398067624,115430288483
115399773536,115431998549
115400757576,115432985619
115401116930,115433347053
115402280920,115434514757
115404424896,115436660571
115406347300,115438589623
115407692280,115439940871
115408824760,115441077963
115410961597,115443221005
115412700978,115444963841
115414119198,115446387407
115415428518,115447700531
115415716628,115447989231
115417499874,115449772405
115419170076,115451446923
115421165552,115453447535
115422039844,115454326971
115423168428,115455456411
115425393778,115457699421
115427737000,115460034815
115429082882,115461386627
115429918746,115462226189
115430352332,115462663017
115431913272,115464225171
115433942194,115466257693
115435945092,115468262703
115436930004,115469251637
115437506926,115469835163
115438526370,115470854569
115440269252,115472602455
115442357266,115474710173
115444047946,115476391137
115445096404,115477446351
115447127266,115479480937
115448935436,115481297117
115450400650,115482759133
115451640626,115483999769
115452041428,115484407673
115453671742,115486039601
115455401470,115487788015
115457048440,115489428199
115458323426,115490707485
115459381670,115491769845
115461572912,115493980627
115463949016,115496340499
115465257874,115497655589
115466170170,115498571707
115466766188,115499190813
115468249682,115500687379
115470199148,115502616733
115471979994,115504402543
115473331228,115505754551
115473731052,115506161139
115474597996,115507032633
115476298230,115508737205
115478377838,115510818629
115480190730,115512638391
