Total_CPU_percent,Total_Memory_usage
0.4,2686164992
0.0,2686156800
0.2,2686156800
0.0,2686148608
0.0,2686148608
0.0,2686148608
0.0,2686148608
0.0,2686140416
0.2,2686132224
0.0,2686132224
0.0,2686132224
0.0,2686132224
0.2,2685587456
0.2,2685587456
0.0,2685554688
0.0,2685554688
5.6,2684882944
2.0,2685153280
0.3,2685104128
0.0,2684604416
0.3,2684604416
0.0,2684604416
0.5,2684796928
0.0,2684796928
0.2,2684796928
0.2,2684796928
0.2,2684796928
0.3,2684796928
0.2,2684796928
0.2,2684440576
0.2,2684440576
0.3,2684440576
0.3,2684305408
0.2,2684305408
0.0,2684305408
0.3,2684305408
0.2,2683817984
0.5,2683817984
0.0,2683813888
0.0,2683490304
0.2,2683490304
0.0,2683490304
0.2,2683199488
0.0,2683166720
0.0,2683166720
0.0,2683166720
0.0,2683166720
0.5,2683113472
0.0,2683113472
0.0,2683113472
0.0,2683113472
0.2,2683080704
0.3,2683133952
0.0,2683133952
0.0,2683133952
0.0,2683133952
0.2,2683101184
0.2,2683101184
0.2,2682806272
0.0,2682806272
0.0,2682806272
0.3,2682806272
0.2,2682806272
0.0,2682929152
0.0,2682925056
0.0,2682925056
0.0,2682925056
0.5,2682925056
0.0,2682556416
0.0,2682556416
0.0,2682556416
0.3,2682556416
0.2,2682523648
0.3,2682646528
0.0,2682642432
0.0,2682642432
0.0,2682642432
0.3,2682642432
0.0,2682568704
0.2,2682310656
0.0,2682310656
0.3,2682310656
0.3,2682310656
0.2,2682310656
0.0,2682310656
0.0,2682310656
0.2,2682130432
0.5,2682130432
0.2,2681909248
0.0,2681643008
0.0,2681643008
0.6,2681643008
0.0,2681643008
0.0,2681794560
0.2,2681794560
0.0,2681794560
0.2,2681794560
0.5,2681790464
0.3,2681749504
0.0,2681749504
0.0,2681749504
0.3,2681491456
0.3,2681643008
0.2,2681643008
0.0,2681643008
0.2,2681643008
0.3,2681643008
0.3,2681925632
0.0,2681688064
0.0,2681688064
0.0,2681688064
0.2,2681655296
0.3,2681655296
0.2,2681622528
0.2,2681622528
