Bytes_sent,Bytes_received
351604206186,6702217514
351604206186,6702217688
351604206186,6702217688
351604206186,6702217900
351604206186,6702218074
351604206186,6702218074
351604206186,6702218240
351604206186,6702218240
351604206186,6702218240
351604206186,6702218240
351604206186,6702218398
351604206186,6702218398
351604206186,6702218398
351604206186,6702218738
351604206186,6702218738
351604206186,6702218738
351604518230,6702253740
351628544262,6702692612
351656402338,6703137046
351674635182,6703491220
351674635182,6703491220
351674635182,6703491220
351674635182,6703491432
351674635182,6703492860
351674635182,6703492860
351674635182,6703493118
351684201332,6703688540
351707935756,6704099878
351729939718,6704536614
351747841712,6704872658
351747841712,6704873022
351747841712,6704873022
351747841712,6704873256
351747841712,6704873256
351747841712,6704873620
351747841712,6704873620
351760362674,6705111084
351784916564,6705570122
351810326156,6706055286
351825777498,6706375646
351825777498,6706375646
351825777498,6706375646
351829677856,6706445726
351846172084,6706773074
351869526862,6707232448
351893176368,6707648294
351917196018,6708122474
351942691216,6708587118
351963617494,6708991804
351977154162,6709261270
351977154162,6709261270
351979317092,6709302596
351991625952,6709528432
352015422560,6709987562
352039445922,6710445316
352053534450,6710705886
352075454124,6711138264
352102969864,6711628854
352128581046,6712079940
352128581178,6712080058
352128581178,6712080058
352130407226,6712118554
352145045952,6712415184
352169808366,6712888554
352194834986,6713357428
352205754830,6713571372
352231594238,6714050102
352256432504,6714492822
352279483788,6714941518
352303811280,6715409302
352328757194,6715896050
352352736360,6716324268
352376852156,6716781260
352400255096,6717245290
352424024534,6717697780
352443581464,6718106672
352472673436,6718601176
352501936416,6719166436
352529722874,6719697934
352556187694,6720210720
352581151168,6720688666
352600015552,6721039166
352623142712,6721468092
352648925778,6721934748
352672451678,6722375090
352682748844,6722591080
352707740562,6723035056
352733444618,6723520418
352757153164,6723963306
352780281080,6724421118
352802633234,6724844582
352825481650,6725279254
352849728548,6725746330
352875221414,6726243000
352899618070,6726729402
352924346850,6727189392
352950588346,6727699160
352977432434,6728188446
353002822856,6728665530
353025303918,6729098910
353049908656,6729574990
353074521854,6730000116
353096222746,6730423216
353118750322,6730876240
353143104100,6731336282
353169521226,6731844042
353194493282,6732285142
353216533850,6732717204
353240762746,6733159506
353265622412,6733627410
353288674310,6734093030
353312664114,6734526638
353335174516,6734966566
353357179386,6735410152
353380194100,6735856614
353403844766,6736282454
353427958276,6736757312
353450395204,6737234170
353473635424,6737685860
353498300282,6738142258
353522324664,6738566134
353544377170,6739021822
353568354516,6739491818
353593410902,6739930510
353616383672,6740395410
353642478720,6740894616
353668659882,6741395822
353691514970,6741843450
353716003708,6742311484
353741437806,6742777132
353765686024,6743245724
353791555478,6743699776
353814924572,6744134876
353838185322,6744595858
353863222660,6745064904
353889649510,6745550046
353915787534,6746017182
353941504180,6746498420
353965409246,6746930398
353990065994,6747416098
354011917592,6747852476
354036275946,6748315874
354061182076,6748791100
354085098958,6749233648
354111013256,6749703424
354135692308,6750172062
354159462116,6750632164
354183770554,6751106766
354207028112,6751556042
354231323310,6751975190
354254029450,6752424294
354278790184,6752908242
354304091038,6753375920
354328046286,6753847498
354351838754,6754293696
354377337406,6754810104
354403806416,6755332174
354429992676,6755799756
354453459392,6756263082
354478968914,6756739192
354503147798,6757205522
354525004316,6757646894
354547495400,6758084880
354571106066,6758564880
354594465984,6759012108
354618792492,6759471404
354642953824,6759933904
354668958072,6760385548
354692711104,6760834508
354717862628,6761302858
354739555696,6761724762
354762997090,6762170554
354785623316,6762607996
354810597402,6763090660
354834901072,6763575854
354861386672,6764065052
354885733538,6764531668
354909773424,6764968892
354934099252,6765411170
354958254110,6765860448
354980526778,6766289680
355004858224,6766761370
355028639330,6767212102
355052864526,6767680778
355075768800,6768142580
355100701368,6768604926
355125310734,6769067736
355148896288,6769498270
355175133216,6769970878
355199014300,6770430560
355220963542,6770889544
355245695180,6771358832
355269880772,6771808200
355292778904,6772254810
355319153818,6772747318
355344586988,6773234220
355370562484,6773707098
355396227348,6774201864
355419058796,6774681420
355442774868,6775158302
355466214542,6775590938
355489776362,6776014984
355513476372,6776472176
355538616284,6776951368
355561036538,6777415192
355584639610,6777876036
355610010500,6778319024
355634127226,6778796824
355657911030,6779256144
355681703772,6779697874
355706015452,6780147212
355728718758,6780576454
355752361036,6781031382
355777647482,6781522166
355804066934,6782021308
355828911748,6782459848
355855014240,6782954322
355879554018,6783413022
355903721672,6783876540
355927301920,6784350162
355950212674,6784780100
355974563874,6785217136
355998707038,6785668238
356026646626,6786266054
356053848972,6786801780
356079503600,6787312358
356102494482,6787746558
356126600840,6788209500
356151864150,6788687474
356175752886,6789150220
356198315906,6789601560
356221621236,6790073716
356246419232,6790532084
356269462908,6790952172
356294116602,6791439114
356318302688,6791923494
356345312190,6792440900
356370273698,6792892450
356394685732,6793343412
356418768562,6793836874
356443684058,6794290304
356467095872,6794731702
356493368046,6795245232
356517516226,6795706724
356540421384,6796173062
356566685028,6796643832
356591653426,6797110236
356617726532,6797575454
356641906376,6798037894
356663809180,6798460510
356687715340,6798917936
356713270566,6799409328
356742036912,6799931174
356768368916,6800432670
356793604040,6800871664
356819886908,6801354040
356844660018,6801838490
356869607280,6802326388
356891045084,6802764382
356915541592,6803217062
356940754734,6803703792
356964835962,6804142674
356988742638,6804607418
357012151318,6805089188
357037591916,6805589904
357064364420,6806079828
357090596250,6806521762
357113042504,6806974346
357135862346,6807413632
357159970632,6807841568
357185472404,6808295772
357209166910,6808764338
357232357270,6809210510
357257229344,6809646104
357279338314,6810066358
357304883328,6810557122
357330911192,6811183922
357357854282,6812050316
357382280440,6812493924
357404236312,6812948072
357425369468,6813387976
357449132592,6813853762
357473083232,6814306160
357497963200,6814753636
357522201174,6815237286
357546133358,6815718870
357571250276,6816173574
357597335012,6816623618
357620229700,6817084262
357643348248,6817561894
357670321810,6818053654
357698499452,6818560084
357725491942,6819048762
357748481906,6819497058
357774604212,6820001848
357802288390,6820495894
357827664258,6820939106
357849023796,6821429184
357872449968,6821900974
357897779076,6822382038
357921069200,6822836606
357944393900,6823276352
357968845012,6823714238
357993426754,6824130204
358018788834,6824671240
358040280492,6825128692
358064771490,6825584126
358088982068,6826038946
358111790944,6826598984
358134731346,6827140426
358160437802,6827702278
358185431084,6828269454
358209393230,6828776140
358235443982,6829309852
358261001474,6829842378
358290486334,6830422840
358318459034,6830987656
358343144098,6831560226
358367756878,6832102928
358396072654,6832694698
358421977918,6833277588
358447839830,6833731410
358470130648,6834199838
358492929724,6834669760
358518859436,6835131220
358541375250,6835572762
358565360312,6836040588
358591249964,6836532570
358612638014,6836937254
358638076800,6837460090
358664356582,6837954204
358693776280,6838452740
358716593036,6838884446
358741045440,6839357288
358767347856,6839801412
358791647464,6840284068
358818521590,6840783536
358843226812,6841199958
358865140714,6841654270
358888205794,6842125216
358912368850,6842598516
358933930566,6842982576
358955514354,6843448278
358979735280,6843900588
359004018226,6844325420
359027025998,6844796988
