CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,700416
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.2,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.0,0.0,0.0,0,700416
0.5,20.0,0.3046875,0,2924544
0.2,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.0,0.0,0.0,0,2924544
0.2,0.0,0.0,0,2924544
0.2,10.0,0.153125,0,4567040
0.2,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.0,0.0,0.0,0,4567040
0.6,20.0,0.30625,0,6209536
0.0,0.0,0.0,0,6209536
0.0,0.0,0.0,0,6209536
0.0,0.0,0.0,0,6209536
0.2,0.0,0.0,0,6209536
0.2,0.0,0.1546875,0,7065600
0.2,10.0,0.1546875,0,7856128
0.0,0.0,0.0,0,7856128
0.0,0.0,0.0,0,7856128
0.0,0.0,0.0,0,8118272
0.3,25.0,0.153125,0,9502720
0.0,0.0,0.0,0,9502720
0.0,0.0,0.0,0,9502720
0.0,0.0,0.0,0,9502720
0.2,0.0,0.0,0,9502720
0.5,27.3,0.4625,0,10915840
0.2,9.1,0.0,0,11149312
0.0,0.0,0.0,0,11149312
0.0,0.0,0.0,0,11149312
0.2,0.0,0.0,0,11972608
0.3,10.0,0.153125,0,12791808
0.2,0.0,0.0,0,12791808
0.0,0.0,0.0,0,12791808
3.8,0.0,0.0,0,12791808
0.2,0.0,0.153125,0,12926976
0.6,11.1,0.3046875,0,14344192
0.3,0.0,0.0,0,14442496
0.5,0.0,0.0,0,14442496
0.2,0.0,0.0,0,14442496
0.2,10.0,0.153125,0,15691776
0.6,20.0,0.30625,0,16678912
0.5,18.2,0.153125,0,17731584
0.2,0.0,0.0,0,17731584
0.0,0.0,0.0,0,17731584
0.0,0.0,0.0,0,17928192
0.3,18.2,0.153125,0,19378176
0.0,0.0,0.0,0,19378176
0.2,0.0,0.0,0,19378176
0.0,0.0,0.0,0,19378176
0.3,18.2,0.3078125,0,19808256
0.3,20.0,0.153125,0,19808256
0.2,9.1,0.153125,0,19808256
0.0,0.0,0.0,0,19808256
0.0,0.0,0.0,0,19808256
