Total_CPU_percent,Total_Memory_usage
0.2,2686930944
0.2,2686902272
0.0,2686902272
0.0,2686902272
0.0,2686902272
0.0,2686902272
0.0,2687664128
0.2,2687664128
0.0,2687664128
0.0,2687664128
0.0,2687664128
0.2,2687406080
0.0,2687406080
0.0,2687406080
0.0,2687406080
0.0,2687406080
0.0,2687406080
0.5,2688090112
0.2,2688090112
0.0,2688090112
0.0,2688090112
0.0,2688090112
0.0,2688040960
0.0,2688040960
0.0,2688040960
0.0,2688040960
0.2,2687938560
0.2,2689503232
0.2,2689495040
0.0,2689495040
0.0,2689495040
0.0,2689495040
0.0,2689495040
0.0,2689236992
0.0,2689236992
0.0,2689236992
0.0,2689187840
0.6,2690768896
0.0,2690768896
0.0,2690768896
0.0,2690768896
0.2,2690768896
0.2,2691792896
0.2,2692308992
0.0,2692308992
0.0,2692308992
0.0,2692513792
0.3,2694348800
0.0,2694348800
0.0,2694348800
0.0,2694348800
0.2,2694348800
0.5,2695380992
0.2,2695888896
0.0,2695888896
0.0,2695340032
0.2,2695856128
0.3,2696884224
0.2,2696884224
0.0,2696884224
3.8,2696867840
0.2,2696908800
0.6,2698264576
0.3,2698514432
0.5,2698514432
0.2,2697076736
0.2,2698174464
0.6,2699239424
0.5,2700271616
0.2,2700271616
0.0,2700271616
0.0,2700271616
0.3,2701852672
0.0,2701852672
0.2,2701852672
0.0,2702028800
0.3,2702544896
0.3,2702544896
0.2,2702544896
0.0,2702532608
0.0,2702372864
0.3,2702372864
0.0,2702340096
0.0,2702364672
0.2,2702364672
0.0,2702106624
0.3,2702073856
0.3,2702721024
0.3,2702721024
0.0,2702999552
0.0,2702999552
0.2,2703515648
0.5,2704547840
0.0,2705612800
0.2,2705858560
0.0,2705629184
0.6,2707759104
0.0,2708758528
0.0,2708758528
0.0,2708758528
0.0,2708725760
0.3,2709823488
0.3,2711404544
0.2,2712502272
0.0,2712502272
0.0,2712068096
0.6,2712068096
0.6,2712068096
0.2,2712186880
0.0,2712154112
0.0,2712154112
0.3,2711605248
0.3,2711605248
0.5,2711605248
0.0,2710974464
0.0,2710974464
0.8,2710974464
0.5,2710974464
0.2,2710974464
0.2,2711310336
0.0,2711310336
0.3,2712375296
0.3,2713923584
0.3,2714427392
0.0,2714554368
0.0,2715103232
0.2,2716717056
0.5,2718781440
0.2,2719297536
0.0,2719297536
0.0,2719297536
0.6,2721361920
0.2,2722394112
0.0,2722910208
0.2,2722783232
0.2,2722783232
0.6,2722783232
0.5,2722783232
0.0,2722795520
0.2,2722795520
0.0,2722795520
0.5,2722795520
0.0,2722549760
0.5,2722549760
0.0,2722471936
0.3,2722471936
0.6,2722471936
0.3,2722471936
0.3,2722471936
0.0,2722344960
0.3,2722086912
0.3,2722086912
0.3,2722668544
0.3,2723700736
0.2,2723553280
0.6,2725392384
0.2,2726907904
0.2,2728488960
0.0,2728726528
0.0,2728726528
0.2,2729242624
0.5,2731307008
0.2,2732888064
0.3,2733146112
0.2,2733514752
0.3,2733514752
0.6,2733514752
0.3,2733514752
0.5,2733514752
0.2,2733514752
0.5,2733588480
0.2,2733588480
0.2,2733522944
0.2,2733215744
0.2,2733027328
0.6,2733027328
0.2,2733027328
0.2,2732736512
0.5,2732703744
0.0,2732744704
0.3,2732691456
0.8,2732691456
0.5,2732625920
0.2,2732703744
0.0,2733215744
0.5,2735345664
0.5,2736926720
0.2,2738475008
0.2,2738991104
0.2,2739482624
0.2,2741063680
0.3,2742644736
0.3,2744127488
0.5,2745008128
0.2,2745524224
0.5,2745524224
0.3,2745524224
0.3,2745524224
0.3,2745491456
0.2,2745491456
0.2,2745491456
0.3,2745491456
0.5,2745233408
0.2,2745458688
0.0,2745450496
0.6,2745417728
0.5,2745417728
5.5,2745802752
5.0,2746351616
0.6,2746327040
0.6,2746261504
0.8,2746261504
0.3,2746228736
0.3,2745925632
0.0,2745921536
0.3,2745921536
0.3,2745921536
0.6,2747600896
0.0,2748567552
0.3,2750148608
0.3,2751762432
0.2,2753310720
0.2,2755006464
0.2,2755489792
0.2,2755743744
0.3,2755710976
0.5,2755710976
0.2,2755420160
0.3,2755420160
0.2,2755420160
0.3,2755420160
0.6,2755387392
0.3,2755141632
0.0,2755141632
0.2,2755125248
0.3,2755125248
0.2,2755125248
0.5,2755125248
0.3,2755125248
0.0,2755084288
0.3,2755084288
0.5,2755051520
0.5,2755342336
0.3,2755342336
0.2,2755342336
0.2,2755342336
0.3,2755342336
0.6,2755342336
0.0,2755342336
0.0,2755395584
0.3,2755395584
0.3,2755944448
0.2,2756812800
0.2,2757844992
0.2,2757844992
0.5,2757844992
0.6,2757844992
0.3,2757844992
0.2,2757812224
0.2,2757812224
0.5,2757812224
0.3,2757812224
0.8,2757795840
0.0,2757795840
0.3,2757816320
0.2,2757718016
0.3,2757718016
0.3,2757685248
0.5,2757652480
0.2,2757652480
0.3,2757652480
0.3,2757423104
0.2,2757423104
0.2,2757423104
0.2,2757410816
0.3,2757410816
0.3,2757410816
0.2,2757410816
0.3,2757410816
0.3,2757410816
0.3,2757410816
0.3,2757115904
0.3,2757664768
0.2,2757664768
0.0,2757664768
0.6,2757664768
0.5,2757664768
0.5,2757664768
0.3,2757664768
0.2,2757664768
0.5,2757664768
0.2,2757619712
0.6,2757619712
0.2,2757619712
0.5,2757619712
0.3,2757611520
0.0,2757545984
0.5,2757545984
0.5,2757545984
0.2,2757545984
0.5,2757545984
0.2,2757525504
0.5,2757521408
0.2,2757521408
0.3,2757521408
0.5,2757521408
0.6,2757423104
0.3,2757423104
0.3,2757423104
0.0,2757423104
0.2,2757423104
0.3,2757185536
0.5,2757152768
0.2,2757152768
0.3,2757152768
0.3,2757152768
0.5,2757152768
0.3,2756894720
0.2,2756861952
0.3,2756861952
0.3,2756861952
0.5,2756870144
0.3,2756870144
0.3,2756870144
0.0,2756870144
0.6,2756870144
0.5,2756870144
0.5,2756870144
0.3,2756870144
0.5,2756870144
0.2,2756943872
0.6,2756943872
0.6,2756943872
0.5,2756943872
0.0,2756943872
0.2,2756911104
0.3,2756911104
0.2,2756911104
0.2,2756911104
0.2,2756911104
0.3,2756694016
0.3,2756694016
0.9,2756694016
0.5,2756694016
0.5,2756694016
0.2,2756694016
0.3,2756694016
0.2,2756694016
0.6,2756694016
0.0,2756694016
0.2,2756386816
0.5,2756386816
0.3,2756386816
0.6,2756128768
0.2,2756128768
5.8,2756055040
0.5,2756055040
0.8,2756055040
0.5,2756055040
0.2,2756022272
0.3,2756050944
0.3,2756050944
0.5,2756050944
0.3,2756050944
0.2,2756050944
0.3,2756050944
0.3,2756018176
0.5,2756018176
0.5,2756018176
0.2,2756018176
0.5,2756067328
0.2,2756067328
0.3,2756067328
0.3,2755776512
0.2,2755776512
0.2,2755743744
0.6,2755743744
0.3,2755743744
0.3,2755743744
0.2,2755723264
0.3,2755723264
0.3,2755723264
0.5,2755723264
0.5,2755690496
0.3,2755690496
0.2,2755690496
0.3,2755690496
0.5,2755690496
0.2,2755690496
0.2,2755633152
0.5,2755633152
0.5,2755633152
0.0,2755633152
0.5,2755633152
0.2,2755633152
0.5,2755633152
0.2,2755633152
0.6,2755633152
0.2,2755633152
0.2,2755584000
0.2,2754035712
0.6,2754035712
0.3,2754035712
0.3,2754035712
0.2,2754035712
0.3,2754035712
0.8,2753777664
0.5,2753777664
0.5,2753777664
0.2,2753708032
0.2,2753708032
0.2,2753708032
0.3,2753708032
0.2,2753708032
0.0,2753708032
0.3,2753675264
0.2,2753675264
0.3,2753675264
0.5,2753662976
0.2,2753662976
0.2,2753662976
0.5,2753662976
0.2,2753662976
0.0,2753662976
0.3,2753630208
0.3,2753630208
0.3,2753630208
0.3,2753630208
0.2,2753859584
0.3,2754375680
0.2,2754375680
0.2,2754375680
0.6,2754375680
0.2,2754375680
0.3,2754375680
0.3,2754375680
0.3,2754375680
0.5,2754375680
0.3,2754592768
0.6,2754588672
0.3,2754588672
0.2,2754588672
0.3,2754588672
0.3,2754588672
0.6,2754588672
0.3,2754330624
0.3,2754330624
0.2,2754330624
0.2,2754347008
0.3,2754347008
0.6,2754347008
0.2,2754314240
0.5,2754314240
0.3,2754314240
0.0,2754314240
0.3,2754314240
0.6,2754314240
0.5,2754314240
0.2,2754723840
0.2,2755239936
0.3,2755239936
0.3,2755239936
0.3,2755239936
0.3,2755239936
0.2,2755239936
0.3,2755239936
0.2,2755919872
0.5,2755772416
0.2,2755772416
0.5,2755772416
0.5,2755772416
0.2,2755772416
0.6,2755772416
0.2,2755481600
0.3,2755481600
0.3,2755481600
0.6,2755481600
0.3,2755465216
0.0,2755465216
0.3,2755465216
0.5,2755465216
0.3,2755465216
0.5,2755465216
0.3,2755465216
0.2,2755465216
0.2,2755366912
0.5,2755366912
0.5,2755448832
0.3,2755448832
0.5,2755448832
0.0,2755448832
0.5,2755416064
0.2,2755350528
0.3,2755284992
0.5,2755284992
0.6,2755284992
0.3,2755284992
0.6,2755301376
0.0,2755301376
0.2,2755301376
0.2,2755301376
0.6,2755301376
4.6,2755342336
0.5,2755862528
0.2,2755862528
0.8,2755862528
0.3,2755862528
0.8,2755518464
0.6,2755485696
0.0,2755506176
0.3,2755506176
0.5,2755506176
0.5,2755506176
0.0,2755506176
0.2,2755506176
0.2,2755506176
0.2,2755506176
0.5,2755469312
0.5,2755469312
0.2,2755469312
0.5,2755469312
0.3,2755461120
0.5,2755461120
0.2,2755461120
0.3,2755461120
0.3,2755461120
0.2,2755379200
0.5,2755379200
0.3,2755379200
0.3,2755379200
0.3,2755379200
0.2,2755346432
0.2,2755346432
0.6,2755346432
0.0,2755346432
0.3,2755346432
0.3,2755305472
0.5,2755305472
0.6,2755305472
0.3,2755305472
0.2,2755305472
0.2,2755305472
0.5,2755305472
0.3,2755301376
0.3,2755301376
0.2,2755301376
0.6,2754990080
0.5,2754957312
0.0,2754957312
0.2,2754957312
0.2,2754957312
0.5,2754957312
0.5,2754957312
0.5,2754957312
0.0,2754957312
0.2,2754957312
0.3,2754715648
0.3,2754650112
0.3,2754650112
0.0,2754650112
0.0,2754650112
0.5,2754617344
0.3,2754617344
0.3,2754617344
0.5,2754617344
0.2,2754617344
0.3,2754662400
0.5,2754662400
0.3,2754662400
0.3,2754662400
0.5,2754662400
0.5,2754629632
0.3,2754629632
0.2,2754629632
0.2,2754629632
0.5,2754547712
0.2,2754547712
0.8,2754514944
0.5,2754514944
0.2,2754514944
0.2,2754514944
0.5,2754449408
0.0,2754449408
0.3,2754351104
0.2,2754875392
0.5,2754494464
0.3,2754494464
0.5,2754494464
0.5,2754494464
0.5,2754494464
0.0,2754494464
0.3,2754494464
0.6,2754494464
0.5,2754494464
0.2,2754236416
0.5,2754220032
0.5,2754220032
0.2,2754154496
0.2,2754154496
0.3,2754121728
0.2,2754121728
0.5,2754121728
0.0,2754121728
0.3,2754088960
0.6,2754056192
0.3,2754113536
0.5,2754113536
0.5,2754113536
0.5,2754113536
0.2,2754080768
0.2,2754048000
0.5,2754048000
0.2,2754048000
0.3,2754015232
0.3,2753982464
0.5,2754031616
0.3,2754031616
0.5,2754031616
0.5,2754031616
0.2,2754031616
0.5,2753998848
0.3,2753998848
0.0,2753998848
0.3,2753966080
0.0,2754056192
0.5,2754056192
0.2,2754023424
0.3,2754023424
0.3,2754023424
0.0,2753990656
0.5,2753990656
0.2,2753990656
0.6,2753990656
0.3,2753990656
0.3,2753966080
0.5,2753966080
0.2,2753966080
0.3,2753966080
0.5,2753966080
0.2,2753966080
0.2,2753966080
0.0,2753966080
0.5,2753933312
0.2,2753933312
0.5,2753896448
0.0,2753896448
0.5,2753863680
0.3,2753863680
0.2,2753863680
5.2,2753863680
0.3,2753863680
0.3,2753863680
0.2,2753863680
0.5,2753863680
0.5,2753839104
0.6,2753839104
0.5,2753806336
0.2,2753806336
0.5,2753773568
0.0,2753773568
0.5,2753773568
0.6,2753830912
0.5,2753847296
0.5,2753847296
0.2,2753605632
0.0,2753605632
0.3,2753605632
0.3,2753605632
0.3,2753605632
0.3,2753605632
0.2,2753605632
0.3,2753572864
0.5,2753540096
0.0,2753540096
0.3,2753556480
0.0,2753556480
0.2,2753556480
0.5,2753523712
0.3,2753523712
0.5,2753523712
0.3,2753523712
0.0,2753523712
0.5,2753523712
0.3,2753503232
0.3,2753503232
0.3,2753503232
0.0,2753503232
0.3,2753503232
0.2,2753503232
0.2,2753503232
0.5,2753503232
0.2,2753503232
0.5,2753503232
0.3,2753490944
0.3,2753458176
0.2,2753458176
0.3,2753458176
0.3,2753200128
0.2,2753200128
0.3,2753167360
0.2,2753167360
0.5,2753167360
0.5,2753167360
0.5,2753150976
0.2,2753134592
0.0,2753101824
0.3,2753101824
0.3,2753101824
0.2,2753101824
0.2,2753101824
0.2,2753101824
0.3,2753101824
0.3,2753622016
0.5,2753363968
0.6,2753331200
0.2,2753331200
0.2,2753331200
0.3,2753331200
0.5,2753331200
0.2,2753331200
0.3,2753331200
0.2,2753331200
0.6,2753331200
0.3,2753253376
0.3,2753253376
0.2,2753253376
0.0,2753253376
0.3,2753044480
0.2,2753044480
0.3,2753044480
0.3,2753044480
0.6,2753044480
0.3,2753007616
0.3,2753007616
0.2,2753007616
0.2,2753007616
0.3,2753007616
0.6,2753007616
0.2,2753007616
0.3,2753007616
0.5,2753007616
0.5,2753007616
0.3,2752958464
0.5,2752958464
0.5,2752958464
0.3,2752958464
0.2,2752958464
0.5,2752958464
0.2,2752958464
0.3,2752925696
0.2,2752925696
0.3,2752925696
0.5,2752872448
0.2,2752839680
0.5,2752839680
0.2,2752839680
0.5,2752839680
0.2,2752839680
0.5,2752839680
0.5,2752839680
0.3,2752839680
0.0,2752839680
0.2,2752835584
0.3,2752835584
0.2,2752835584
0.3,2752835584
0.2,2752835584
0.0,2752802816
0.5,2752802816
0.3,2752802816
0.2,2752544768
0.3,2752528384
0.5,2752528384
0.2,2752528384
0.2,2752528384
0.5,2752528384
0.5,2752528384
0.3,2752528384
0.5,2752528384
0.3,2752528384
0.3,2752528384
0.2,2752503808
0.3,2752503808
0.2,2752503808
0.2,2752503808
0.3,2752405504
0.3,2752405504
0.2,2752372736
0.3,2752372736
0.3,2752339968
0.3,2752339968
0.5,2752454656
0.3,2752454656
0.5,2752454656
0.3,2752421888
0.3,2752389120
5.7,2752888832
0.5,2752815104
0.6,2752815104
0.6,2752815104
0.6,2752815104
1.1,2752987136
0.2,2752987136
0.3,2752987136
0.6,2752933888
0.3,2752868352
0.3,2752868352
0.2,2752835584
0.3,2752835584
0.3,2752835584
0.2,2752835584
