Bytes_sent,Bytes_received
243165054002,317133124307
243165054002,317133124307
243165054002,317133124307
243165054002,317133124307
243165054002,317133124625
243165054002,317133124625
243165054002,317133124625
243166546250,317136020267
243168723168,317139685971
243168723168,317139686183
243168723168,317139686183
243168723168,317139686183
243168723168,317139686183
243168723168,317139686183
243168723168,317139686183
243168723168,317139686183
243168723168,317139686183
243172404694,317146338875
243172404694,317146338875
243172404694,317146338875
243172404694,317146338875
243172404694,317146338875
243172404694,317146338875
243172404694,317146338875
243172404694,317146339217
243172404694,317146339383
243172404694,317146339383
243176082704,317152937607
243176082704,317152937607
243176082704,317152937819
243176082704,317152937819
243176082704,317152937819
243177467966,317155203531
243179737138,317159254113
243179737138,317159254359
243179737262,317159254525
243179737262,317159254525
243183420150,317166035997
243183420150,317166035997
243183420150,317166035997
243183420150,317166035997
243183420150,317166035997
243185987132,317170552565
243187079324,317172361037
243187079324,317172361037
243187079324,317172361037
243187089526,317172372071
243190763834,317179189715
243190763834,317179189905
243190763834,317179190117
243190763834,317179190117
243190763834,317179190117
243193548676,317184764339
243194472478,317186568225
243194472478,317186568225
243194472478,317186568225
243195724386,317189004631
243198868558,317194461033
243201495448,317198967065
243201784930,317199413213
243201784930,317199413213
243202000888,317199714165
243205382906,317206003977
243205454622,317206102997
243205454622,317206102997
243205454622,317206102997
243207549304,317209806557
243211034440,317215455651
243212753082,317218440989
243212753214,317218441107
243212753214,317218441107
243213119372,317219072761
243216435998,317225298507
243216435998,317225298967
243216435998,317225299247
243216435998,317225299421
243219332494,317230278801
243222253932,317235972035
243223773498,317238339141
243223773498,317238339141
243223773498,317238339141
243225150088,317240474033
243228372600,317246177447
243230621868,317249586169
243231062476,317250503997
243231062476,317250504171
243234894406,317257690641
243237530534,317262358661
243238400374,317263667817
243238400374,317263667817
243238400374,317263667817
243239713276,317265834683
243243677020,317272758881
243245582214,317276072887
243245725430,317276270041
243245725430,317276270041
243249910288,317283675661
243252674662,317288305855
243253035254,317288891587
243253035254,317288891587
243253035254,317288891587
243254731950,317292070201
243258359412,317297719987
243260274690,317301236883
243260345712,317301333075
243260345712,317301333075
243264475526,317308484861
243268549241,317315330127
243270646046,317318596265
243271304822,317319799847
243271304822,317319799847
243273304620,317323464301
243277461176,317330800649
243278475976,317332398587
243278615214,317332537889
243278615214,317332537889
243283030080,317340616817
243287030646,317347121107
243289302142,317351228735
243289590986,317351668895
243289590986,317351668895
243292639952,317357778841
243295928907,317363504705
243296973774,317365680841
243296973774,317365680841
243297516718,317366787051
243302401434,317376571649
243305968270,317383008353
243307571440,317385762359
243308086082,317386736697
243308086082,317386736697
243311197718,317392310485
243315283714,317399074987
243317697116,317402937605
243318942964,317405002933
243320646742,317408254873
243324428636,317414902151
243328106212,317421225569
243329846516,317423942161
243329990008,317424137227
243330429862,317424952515
243334167860,317431592085
243337778764,317438464811
243340402328,317442804495
243340915062,317443671517
243343476378,317448200691
243347153832,317454949881
243350745042,317461139795
243351908582,317463118625
243351983646,317463275063
243352567274,317464269557
243356965334,317472126093
243360444522,317477884501
243362433607,317481217389
243362870694,317481951067
243366144649,317488150463
243369332034,317493725481
243373778170,317502034205
243376086904,317505934115
243377617432,317508737715
243378637612,317510444259
243382620268,317517982877
243386516408,317525101617
243388320984,317527827675
243388615726,317528347995
243392520866,317535366049
243395960764,317541448717
243399781916,317548629439
243402399014,317552873101
243403126926,317554111735
243405148064,317557653625
243409236908,317564843745
243412738744,317571555957
243414204052,317574212407
243414276872,317574339185
243418705740,317582684513
243422469424,317589053509
243426164816,317595786631
243428129820,317598832437
243428794768,317600199427
243431211002,317604592215
243435001262,317611555107
243438889078,317618056469
243441965396,317623545133
243443429676,317626136531
243448207558,317635137739
243451953704,317641931343
243455725432,317648669907
243457882648,317651988781
243458249688,317652655359
243461095888,317657471537
243464915826,317664372831
243468584932,317670545819
243471585000,317675350513
243472460472,317676833727
243478086098,317687898881
243482434884,317695824399
243485449216,317700776937
243487348044,317703851049
243487505800,317704293371
243491155522,317712336687
243495482582,317721918311
243499230778,317728236843
243501601704,317732487377
243502328550,317733611949
243504013560,317736561257
243508299950,317743903477
243512099046,317750470355
243515020602,317755289921
243516848240,317758002797
243521514642,317766075569
243525283650,317772367307
243528513752,317777872213
243531213278,317782026077
243531740548,317783131379
243534497924,317787656415
243538264960,317794345057
243542060798,317800391459
243544668588,317804030081
243546295934,317806881379
243550470486,317814314533
243555814608,317823831579
243558944228,317829191569
243560847472,317832193877
243561069326,317832576959
243564151502,317837889321
243568089342,317845149287
243572257438,317852963309
243574596000,317857041619
243575800028,317859577213
243577094516,317861866499
243581007266,317868227721
243585341868,317875767419
243588374932,317881127311
243590370644,317884672855
243594593530,317892238597
243598114166,317898471331
243601800734,317904710827
243604347280,317908963465
243605228298,317910399055
243607565260,317914159411
243611541928,317921127675
243614854418,317926736175
243618093366,317932546919
243620222804,317936008339
243623379436,317941482643
243628502264,317950699459
243632061124,317957112857
243634205119,317960484651
243634791824,317961405721
243637373949,317965793701
243641561910,317972908465
243644922908,317979347009
243647853478,317984680131
243649251334,317986964469
243650496540,317988982677
243653902638,317994429797
243658332870,318003127575
243661534088,318008654675
243663777200,318012491917
243667193724,318018675157
243670858088,318024910745
243674625732,318031068475
243677717784,318036279605
243678826508,318037944375
243680709146,318040765083
243684514994,318047636407
243688257008,318054463309
243691565406,318060102909
243693396342,318063039771
243696540364,318068227581
243701178701,318076718099
243705264174,318084031673
243707784348,318088620933
243708589528,318089938219
243710713046,318093437965
243714509244,318100096331
243718138036,318106278505
243721447172,318111663413
243722829282,318113848069
243724072376,318115726567
243727143654,318120821153
243731918976,318129036745
243734849615,318133775537
243737109981,318137518541
243739839170,318142076691
243744049212,318149243253
243748247432,318156789873
243751256166,318161875767
243752278474,318163454577
243754052888,318166513433
243757820100,318173099507
243761287356,318179225851
243764890415,318185251849
243767244854,318189227791
243769671510,318193436495
243774101490,318202044489
243778038752,318208684611
243780789572,318213102687
243782181586,318215429103
243784173126,318219001233
243787822664,318225433155
243791373782,318231291297
243794577634,318237068559
243796355958,318240342603
243797603497,318242258629
243800635462,318247276773
243804617002,318254001283
243808275426,318260741339
243810618054,318264450173
243813584710,318269935625
243817575594,318276915473
243821132106,318282927547
243823966530,318288392951
243825913482,318291441395
243827478426,318294361951
243830821354,318300612249
243834841182,318307156901
243838058080,318312166189
243840408388,318315986621
243842891304,318319982441
243847245508,318328078967
243851458462,318335163415
243854462818,318340315407
243855782872,318342524019
243857243698,318344794643
243861064966,318351523431
243864519292,318357346333
243867539686,318362570193
243869739560,318366322395
243871057842,318368359557
243873974854,318372951125
243877665030,318379761599
243880978126,318385513877
243883480130,318390297561
243886975212,318396085697
243890087088,318401332883
243894011828,318408055611
243897466786,318413821673
243899269294,318416466405
243900797864,318418763903
243903585750,318423285177
243907838518,318431040565
243911374976,318436909573
243913715504,318440776973
243915933788,318444758479
243919832240,318451145887
243924480702,318459669373
243927447664,318464133691
243928984040,318466522161
243930391878,318469115301
243934393394,318476708661
243937683814,318482026183
243940437188,318486832635
243942835074,318490900161
243944362122,318493266193
243946932480,318497387961
243950952380,318504535755
243954140362,318509874825
243956732716,318514605545
243960428744,318521685241
243963303714,318527178767
243966998392,318533616387
243970386232,318540780885
243972592920,318544678625
243973853402,318546894911
243976638722,318551814843
243981224362,318559900087
243984740656,318566717919
243987259178,318571255783
243989600996,318575209187
243993131008,318581219663
243998108566,318590049191
244001150268,318595299965
244002722182,318598553991
244003884060,318600233231
244007421398,318606241235
244011154718,318612499777
244014532844,318617928417
244015994164,318620313047
244017821734,318623148057
244020369768,318627133673
244024119016,318633912485
244027516079,318639832365
244030607806,318645171603
244033703278,318650591753
244036748540,318656237845
244039848868,318661860537
244044032146,318668894711
244045952902,318672285645
244047617490,318675055621
244050369944,318679866079
244054198162,318686905123
244057884982,318693276063
244060317398,318697940835
244062602201,318701748551
244066242798,318708551107
244070440208,318715895635
244074568856,318723370429
244076029140,318725708579
244077417934,318727911965
244080356345,318732943263
244083595712,318738792303
244087496608,318745576311
244089487496,318749050107
244091189476,318751470347
244093788298,318756025801
244097028478,318761771351
244100399030,318768403639
244103958990,318775144491
244106962766,318779924417
244110366934,318786068205
244113239306,318791269463
244116886946,318797711583
244119598624,318802704891
244121001376,318805094743
244123492044,318809663445
244127089250,318815904727
244131205892,318823715635
244133744590,318828275753
244136337730,318833601177
244139862746,318839506581
244143677106,318845833619
244147762768,318853594335
244149734284,318856727441
244151069834,318859232219
244154355726,318865446871
244157211512,318870427125
244160823464,318876680979
244163282160,318881406271
244165353870,318885152957
244167335276,318888346521
244170267978,318893327805
244173825018,318899759203
244177228696,318905545287
244180199806,318910459893
244183577400,318916134011
244186677288,318921886035
244190382562,318927964377
244192988690,318932580319
244194754500,318935681341
244197227250,318940162479
244200773274,318945944907
244204453674,318952138633
244207549760,318957389295
244209363060,318960240527
244212771674,318966605513
244216540618,318973869531
244220302854,318980490565
244223097598,318985360233
244224359382,318987553119
244227316660,318993057831
244230378592,318998909897
244233895430,319005085875
244236842168,319010198785
244238862524,319013572015
244240643054,319016334165
244243746284,319022003271
244247128036,319027584937
244250692016,319033490393
244253399842,319038287923
244256971282,319044839951
244259822856,319049666999
244263527372,319056150697
244266318158,319060769421
244268126990,319063489983
244270050944,319067170085
244273913430,319074053961
244277589064,319080131893
244280560612,319084837835
244282704480,319088654531
244285969868,319094105931
244289575010,319099784573
244293355132,319106735963
244296204748,319111367003
244297972808,319114456553
244300701180,319119361039
244304039536,319125453375
244307352356,319131332233
244309631546,319135213509
244312326974,319139991367
244313958146,319142512943
244317022636,319147301083
244319823611,319152079683
244324084938,319159406093
244326430136,319163252857
244329973947,319169501351
244333252294,319175053687
244336675562,319181301201
244339889036,319186315563
244341492712,319188811047
244343556470,319192419183
244346873666,319198171625
244350322148,319203942013
244353637212,319209916817
244356067758,319214062023
244359385818,319220059519
244362694038,319226340831
244366462848,319232416791
244369785482,319238515489
244371028318,319240570799
244373529598,319244973619
244376781772,319250721945
244380652346,319256929901
244383004754,319260910735
244385710266,319265010277
244387027056,319267113295
244390284438,319272547497
244393165766,319277355951
244396924236,319284159183
244399494504,319288391759
244402859898,319293924645
244406113740,319299629139
244409648336,319306072655
244412909026,319311814631
244414806220,319314955629
244416850540,319318274197
244419713288,319323093695
244423236550,319329009941
244426915586,319335131427
244428941042,319338426073
244432342528,319343991401
244435935944,319350010429
244439592336,319355986141
244442814408,319361228559
244444390558,319364164933
244446650006,319367933531
244450003794,319373145997
244453250528,319378587745
244456472990,319384431217
244458779498,319388091757
244460414720,319390664835
244463056912,319395086655
244466365036,319400666429
244470033802,319406832595
244472964934,319411713875
244475841350,319416714669
244479102481,319422419915
244482852598,319429159229
244486115420,319434535445
244488294650,319437965433
244490039508,319440792337
244492706244,319445785869
244496440104,319452428303
244500278144,319459053227
244502070682,319461833377
244505775652,319468073297
244509060158,319473324879
244512767820,319479633841
244515714098,319484035937
244517395016,319486813473
244519796838,319490447137
244522940312,319495528305
244526648602,319501860313
244529410138,319506470639
244531897434,319510551299
244533665248,319513746451
244535968784,319517288793
244539401974,319523284007
244543152018,319529613881
244546032433,319534645975
244548754626,319539365473
244551851144,319544959195
244556120176,319552401765
244559069476,319557438835
244561324842,319560757637
244563711114,319565507017
244565975076,319569122533
244569542400,319576464151
244573415784,319586620109
244575672700,319592547643
244579123731,319601856997
244582728308,319610439609
244586835802,319619092897
244589663256,319626654009
244592073088,319632340067
244593910719,319637054223
244597170216,319644182749
244600868186,319652273887
244603472180,319657165853
244606800152,319663003053
244608274436,319665431745
244610511044,319669866865
244614125880,319676335901
244617756224,319682709107
244621055784,319688345231
244623411060,319692313905
244626595546,319698023937
244630197978,319704780417
244633772544,319711191169
244635803126,319713931331
244638155692,319717863439
244640283270,319721516985
244644235320,319727954639
244647475428,319733737199
244649849326,319737995307
244652917696,319744296415
244656715602,319751148203
244660083608,319757752819
244663528250,319764763841
244665750284,319768698107
244667757966,319772383957
244670593266,319776622319
244674057710,319783116667
244677269442,319788907345
244680486014,319795473909
244682202292,319798767687
244684289538,319801975529
244687282662,319807319345
244691042012,319814157471
244694849778,319820886339
244697217812,319824724939
244700414530,319830282893
244703813702,319836177009
244707116350,319841757035
244709554242,319845512709
244711764866,319849303443
244713740778,319853151241
244717808880,319860104279
244721208270,319866323431
244723471638,319870203275
244726582950,319875472895
244729918858,319880893915
244733488296,319887211955
244736693544,319893555063
244739510824,319898997287
244741188256,319901562471
244743973016,319906236569
244747411376,319911802115
244750919882,319917630107
244753474834,319921708283
244755601506,319925241355
244757745840,319929225901
244760696882,319934581439
244764192830,319940698355
244767666242,319946567699
244769928404,319950130415
244773499688,319956190705
244776768352,319961634847
244780142274,319967116973
244782837620,319971223839
244784893942,319974711685
244786956879,319978438039
244790866986,319985213773
244794152594,319990186329
244796836904,319994723567
244799177256,319998554329
244802419646,320003726129
244806256880,320010788585
244809793514,320017196373
244812477726,320021721215
244814352348,320024729315
244817280374,320029545631
244820346106,320034805635
244824073018,320041343975
244826548266,320045484689
244829028836,320050300475
244831000568,320053389873
244833483650,320057829139
244837244572,320064022105
244840954406,320069713531
244843287302,320073283369
244846532448,320078869741
244849799622,320084559277
244853016650,320090353195
244855805376,320094960489
244858211132,320098677051
244860367462,320102731387
244863741542,320108487153
244866738584,320113648125
244869914094,320118716119
244872961240,320124200445
244875725863,320128632857
244879630352,320135526049
244882861092,320141692881
244885622782,320146709381
244887658332,320149796863
244890091896,320154190427
244893020868,320159233723
244897194172,320166770505
244899721528,320171141959
244902223192,320175193023
244904246894,320178327533
244906731474,320182096217
244910147240,320188646459
244913957396,320194804411
244916748038,320199677831
244919391024,320204031981
244923188920,320210239471
244925981556,320214933023
244929126332,320220618229
244931821108,320224925301
244933451390,320227696745
244936944444,320233880283
244939913858,320239149595
244942958716,320244022935
244946128804,320249762325
244948909470,320254234321
244952264202,320259513677
244955540526,320265074573
244958681980,320270572875
244961016576,320274093213
244963383842,320278125741
244966326704,320283486955
244970155166,320290272635
244972885470,320295241477
244975406008,320299663179
244977540218,320303244945
244979523788,320306508973
244983277356,320313237455
244986696408,320319250141
244989689284,320324714071
244992234436,320329133741
244996017872,320335749771
244999249240,320341014671
245002465838,320347240629
245004789232,320351042033
245006471278,320353708589
245009752800,320358926399
245013660312,320365824247
245016322410,320370422729
245019325520,320375350439
245022273088,320380252143
245025647120,320387210939
245028805436,320392932079
245032255554,320398654911
245034442266,320402106123
245036942620,320406250647
245039723410,320410810169
245043429819,320417233605
245046448012,320423089103
245048866490,320427006215
245051225062,320431095027
245053498418,320434948503
245056522896,320440166795
245060025046,320446313455
245063319294,320451833427
245065799816,320456173115
245068941708,320462076381
245072657920,320468417613
245075445748,320472907849
245078102410,320477556709
245080233406,320481297111
245083123204,320486694479
245086543296,320492045083
245089515956,320496787071
245092425224,320501989563
245095786674,320507552149
245099137528,320514042803
245102309088,320519634821
245105520942,320525177811
245108078108,320529278541
245110235576,320532632047
245112864392,320537143033
245116109150,320543054985
245119625778,320548633267
245122032644,320552223169
245124248602,320556187669
245126726378,320559945127
245129817374,320565334397
245133072518,320570542907
245136354058,320576138369
245139071752,320580807681
245142458472,320587393987
245145590762,320592737019
245148245094,320597264283
245151432098,320602516457
245153674680,320606021199
245156223528,320610224255
245159599318,320615829031
245162399476,320620665291
245165331150,320625556091
245168558630,320630761965
245171642832,320635879237
245175141210,320641910511
245178181706,320647095573
245181178054,320651762901
245183236322,320655003863
245186201208,320659827963
245189329574,320665383171
245193315210,320672569983
245195074786,320675421371
245197331646,320678974815
245199870308,320683626953
245202773294,320688456919
245205681700,320693613807
245209261100,320699256237
245212150846,320704526927
245214936174,320709417317
245218300530,320714850115
245221492408,320719665255
245224380868,320724696337
245226578112,320728395515
245229608264,320733989661
245232833338,320739566869
245235456646,320743622837
245238522190,320748636843
245241661964,320753875499
245244774396,320759727209
245247954004,320765359185
245251338830,320771368575
245253967184,320775487791
245256411998,320779982667
245259333712,320784803549
245262134702,320789767531
245265991272,320795865131
245268604540,320799860069
245270588108,320803066285
245272985164,320806684565
245275775432,320811454171
245278616452,320815829115
245282343914,320821849269
245285049396,320826302351
245287600578,320830089301
245291123016,320836218451
245294489254,320841416781
245297428762,320846435035
245299617424,320849744241
245302255748,320854146303
245305371418,320859213339
245308127312,320863795927
245311907516,320870688983
245314919358,320877269241
245317422766,320883393979
245321553396,320892207169
245324389682,320897130311
245327202214,320901693793
245329741710,320906272603
245332203492,320910141029
245335054188,320915035783
245338586266,320921341747
245341617040,320926160447
245344093886,320930253193
245346308416,320933843889
245348803180,320937808353
245351784894,320943855637
245355499676,320950774507
245358481182,320956608437
245361065010,320961790537
245364699096,320968886979
245367242562,320974333829
245371149260,320982685239
245373320188,320986816991
245375804054,320991593891
245378905084,320998321895
245381929894,321003613591
245385494846,321009684597
245388517748,321014941805
245391261466,321019938895
245394645356,321025620917
245397817832,321031165425
245401338652,321037231927
245403699476,321041411341
245406117006,321045331487
245408980313,321050105669
245412277352,321055573495
245415496982,321062212087
245417866534,321066607047
245420390280,321071374001
245422927114,321075183729
245425192160,321078577825
245428657507,321084336027
245432108636,321090415603
245434711940,321095551239
245438087858,321101331565
245441390984,321106879317
245444359265,321111904891
245447129880,321116921013
245449440122,321120660201
245451950590,321124696667
245455449918,321130129499
245458762102,321135990625
245461783458,321141111113
245464653289,321146371655
245467869212,321152328091
245471499922,321158384177
245474467552,321163354019
245476891928,321167106123
245479315406,321171332291
245482192788,321176219941
245485716556,321182092579
245488934346,321187479657
245491181594,321191325243
245493666360,321195712687
245496224494,321199818291
245498887542,321204556509
245502173114,321209728143
245505588212,321216371667
245508201244,321221289463
245511089360,321226925217
245514424517,321233154657
245517396410,321238614041
245520546186,321243796399
245522980922,321248073399
245525714900,321252607527
245528656622,321257846521
245532248762,321263804327
245535485626,321269570273
245537827002,321273346627
245541400850,321279621049
245544367316,321284530481
245548167534,321291425495
245550187378,321294624797
245552529422,321298192087
245555232694,321302511119
245558480452,321308138711
245562185732,321315027367
245564758582,321319387061
245567037130,321323337299
245569688820,321327966357
245572011872,321331849463
245574881958,321336313519
245578873906,321344071409
245581485736,321348664415
245584642012,321353802163
245587432666,321358630559
245590959680,321364669089
245593696072,321369699309
245596135120,321374197567
245598574812,321378469117
245601812276,321384468115
245605236260,321390109829
245608914416,321396525349
245611238740,321400174475
245614800652,321406954415
245617747898,321412548953
245621161716,321419009869
245623693900,321423517249
245625832022,321427031999
245628919576,321431957871
245632051263,321437525761
245635676354,321444163975
245637796214,321447534485
245640243318,321452129555
245642659870,321455922101
245645544312,321461162653
245648335436,321465706339
245652383378,321472858935
245654798457,321476719373
245657690920,321482032033
245660796734,321487684423
245663807968,321492707015
245667411858,321499020135
245669298736,321501673365
245672308628,321506640037
245675114304,321511694009
245678267536,321517153309
245682071922,321523418745
245684255102,321527229401
245687798980,321533187205
245690818828,321538279979
245693972792,321543542015
245696886938,321548154103
245699025116,321551818865
245701954448,321556192489
245705120898,321560795005
245708039154,321565443905
245710883278,321570003039
245713167516,321573795465
245715725470,321578010623
245718603776,321582892153
245721561000,321588198781
245725036392,321594206141
245727969554,321599334925
245730744236,321604518535
245733774398,321609874727
245736524346,321615334825
245740191120,321622063923
245742606000,321626054737
245745094520,321629796707
245748128872,321635457577
245751264154,321641809281
245755309982,321648630643
245757671910,321652864965
245760755226,321657933961
245764060718,321663566341
245767230562,321669283795
245770010490,321673748139
245772220780,321677377123
245774871224,321681742283
245778117045,321687528825
245781346182,321693173441
245784367522,321698543143
245786422080,321701961703
