Total_CPU_percent,Total_Memory_usage
0.2,2660216832
0.0,2660208640
0.2,2660200448
0.0,2660184064
0.0,2660184064
0.0,2660184064
0.2,2660184064
0.0,2659950592
0.0,2659811328
0.0,2659811328
0.0,2659811328
0.0,2659811328
0.2,2659811328
0.2,2659811328
0.0,2659803136
0.0,2659803136
0.3,2660806656
0.2,2660052992
0.0,2659987456
0.0,2659987456
0.0,2659987456
0.0,2659987456
0.2,2659442688
0.0,2659442688
0.0,2659442688
0.0,2659934208
0.0,2660585472
0.2,2660061184
0.0,2659995648
0.2,2659930112
0.0,2659852288
0.0,2659819520
0.0,2659819520
0.0,2659819520
0.0,2659819520
0.0,2660425728
0.2,2660392960
0.0,2659917824
0.0,2659885056
0.0,2659852288
0.0,2659852288
0.2,2659905536
0.0,2659606528
0.2,2659246080
0.0,2659246080
0.3,2660229120
0.0,2660483072
0.0,2659577856
0.0,2659545088
0.0,2659512320
0.0,2659381248
0.2,2660167680
0.2,2660069376
0.2,2660028416
0.0,2660012032
0.5,2660315136
0.0,2660282368
0.0,2659364864
6.3,2658291712
6.4,2657943552
0.2,2657845248
0.3,2658697216
0.2,2658594816
0.5,2658529280
0.2,2658529280
0.3,2659999744
0.5,2660327424
0.5,2659618816
0.2,2659520512
0.2,2659520512
0.3,2659880960
0.3,2660270080
0.0,2660167680
0.0,2660036608
0.0,2660036608
0.5,2660560896
0.0,2660220928
0.0,2660188160
0.0,2660089856
0.0,2660089856
0.0,2660286464
0.0,2659500032
0.2,2658480128
0.0,2658283520
0.2,2658283520
0.2,2659364864
0.3,2659528704
0.2,2659450880
0.0,2659344384
0.2,2659344384
0.0,2660229120
0.2,2660524032
0.2,2660327424
0.0,2660188160
0.0,2659635200
0.2,2660712448
0.2,2659782656
0.2,2659835904
0.0,2659835904
0.0,2659770368
0.0,2660524032
0.3,2661244928
0.0,2660933632
0.0,2659323904
0.3,2660306944
0.2,2660499456
0.0,2660335616
0.0,2660425728
0.0,2660098048
0.2,2659934208
0.2,2660524032
0.0,2661408768
0.0,2661494784
0.2,2661363712
0.2,2661359616
0.3,2661883904
0.0,2661552128
0.0,2661371904
0.0,2661142528
0.2,2661502976
0.5,2659962880
0.2,2658684928
0.0,2657918976
0.0,2657853440
0.2,2658869248
0.3,2659721216
0.2,2660106240
0.3,2659778560
0.0,2660122624
0.2,2659860480
0.3,2660712448
0.0,2660974592
0.0,2661163008
0.0,2661158912
0.2,2661748736
0.2,2661445632
0.0,2661642240
0.2,2661335040
0.0,2661302272
0.3,2661335040
0.0,2661498880
0.3,2661531648
0.0,2661838848
0.0,2659545088
0.3,2660659200
0.2,2660913152
0.0,2660683776
0.2,2660519936
0.2,2660872192
0.3,2661494784
0.0,2662379520
0.0,2662346752
0.2,2661986304
0.2,2662326272
0.2,2663243776
0.3,2663563264
0.2,2663235584
0.0,2662834176
0.0,2662670336
0.3,2661425152
0.3,2658902016
0.2,2657951744
0.3,2658332672
0.0,2658029568
0.5,2659536896
0.2,2660347904
0.3,2661068800
0.3,2661199872
0.0,2660794368
0.3,2661941248
0.2,2662367232
0.2,2662334464
0.0,2662121472
0.2,2662772736
0.3,2662871040
0.2,2663153664
0.2,2662694912
0.2,2662498304
0.0,2662322176
0.5,2662486016
0.3,2662354944
0.2,2662223872
0.0,2662043648
0.0,2660958208
0.0,2661613568
0.3,2662682624
0.0,2662584320
0.3,2662813696
0.0,2662440960
0.0,2663358464
0.3,2664210432
0.5,2664144896
0.0,2664046592
0.0,2664071168
0.3,2664529920
0.0,2664259584
0.5,2664161280
0.0,2664112128
0.0,2663456768
0.2,2660835328
0.5,2659295232
0.3,2658738176
0.2,2659229696
0.2,2660220928
0.2,2660544512
0.2,2661560320
4.4,2658631680
0.5,2657140736
0.3,2657574912
0.5,2658918400
0.8,2659639296
0.2,2660261888
0.3,2660556800
0.6,2660294656
0.2,2659778560
0.2,2660663296
0.2,2660630528
0.3,2661449728
0.2,2661941248
0.2,2662203392
0.3,2662531072
0.0,2662793216
0.0,2663088128
0.0,2660421632
0.5,2661597184
0.5,2662416384
0.2,2662973440
0.0,2663333888
0.0,2662227968
0.3,2663505920
0.2,2664194048
0.2,2664095744
0.2,2664259584
0.0,2663768064
0.3,2664067072
0.5,2664460288
0.0,2663903232
0.2,2663510016
0.0,2661457920
0.2,2658803712
0.3,2658508800
0.3,2659098624
0.2,2659459072
0.2,2660311040
0.3,2660478976
0.2,2661822464
0.3,2661986304
0.2,2661855232
0.0,2662346752
0.2,2663133184
0.3,2663297024
0.2,2663395328
0.2,2664181760
0.5,2662559744
0.0,2663608320
0.2,2662821888
0.0,2662887424
0.3,2662297600
0.0,2662330368
0.3,2662756352
0.2,2662395904
0.0,2662330368
0.3,2662428672
0.0,2661851136
0.3,2660868096
0.0,2661654528
0.6,2663161856
0.0,2663424000
0.2,2663849984
0.3,2664046592
0.2,2664308736
0.2,2664570880
0.2,2663882752
0.3,2663370752
0.0,2661634048
0.3,2662518784
0.3,2662715392
0.2,2662191104
0.3,2660028416
0.0,2658422784
0.3,2658324480
0.0,2659241984
0.0,2659667968
0.0,2659065856
0.3,2659688448
0.3,2660802560
0.3,2661687296
0.0,2662080512
0.3,2662506496
0.3,2663555072
0.2,2663882752
0.3,2664636416
0.5,2664210432
0.3,2662854656
0.3,2663030784
0.2,2661818368
0.3,2661392384
0.0,2660900864
0.0,2661425152
0.2,2662408192
0.2,2662572032
0.3,2662703104
0.2,2662277120
0.0,2662621184
0.5,2661867520
0.0,2662981632
0.2,2663571456
0.0,2663735296
0.3,2662916096
0.2,2663866368
0.2,2663407616
0.3,2664226816
0.2,2664292352
0.0,2663682048
0.2,2663157760
0.3,2663813120
0.2,2662731776
0.2,2660274176
0.2,2658537472
0.2,2658439168
0.5,2659520512
0.2,2660438016
0.2,2660257792
0.0,2660356096
0.3,2660126720
0.2,2661076992
0.0,2661765120
0.2,2662518784
0.2,2663174144
0.2,2663993344
0.0,2664747008
0.2,2665795584
0.2,2663976960
0.2,2663903232
0.5,2664034304
0.2,2664165376
0.2,2663477248
0.2,2663149568
0.2,2662330368
0.0,2662559744
0.2,2662330368
0.0,2662887424
0.5,2661928960
0.3,2662486016
0.0,2661142528
0.3,2662223872
0.0,2662387712
0.2,2662518784
0.2,2662256640
0.2,2662191104
0.3,2661666816
0.2,2662780928
0.3,2661908480
2.5,2658115584
2.2,2656911360
0.0,2657665024
0.5,2658385920
0.0,2657632256
0.2,2657304576
0.5,2658222080
0.2,2659991552
0.2,2660151296
0.3,2659778560
0.2,2660007936
0.2,2659319808
0.0,2660139008
0.3,2661154816
0.0,2661810176
0.3,2662498304
0.2,2662858752
0.2,2663317504
0.2,2662416384
0.3,2661761024
0.2,2661367808
0.0,2661761024
0.3,2661990400
0.2,2662580224
0.0,2661924864
0.2,2662285312
0.3,2662973440
0.0,2663301120
0.6,2662592512
0.2,2661867520
0.2,2662195200
0.2,2661621760
0.0,2661130240
0.0,2661294080
0.2,2661916672
0.2,2661556224
0.2,2661818368
0.3,2662768640
0.0,2662572032
0.3,2662600704
0.0,2662633472
0.3,2662928384
0.2,2660945920
0.2,2659635200
0.2,2657177600
0.0,2657505280
0.0,2658291712
0.0,2659635200
0.3,2659549184
0.0,2660237312
0.5,2660204544
0.2,2660433920
0.2,2661437440
0.3,2661404672
0.0,2662191104
0.3,2662191104
0.0,2662354944
0.2,2663567360
0.0,2663157760
0.2,2663055360
0.2,2663120896
0.3,2662989824
0.3,2662957056
0.2,2662924288
0.2,2663219200
0.5,2663448576
0.2,2663088128
0.3,2663055360
0.2,2661953536
0.0,2662215680
0.3,2661953536
0.0,2662379520
0.2,2660839424
0.3,2661494784
0.5,2661822464
0.0,2662313984
0.5,2663329792
0.0,2664017920
0.0,2663673856
0.2,2663182336
0.0,2663346176
0.5,2661412864
0.2,2660364288
0.2,2657808384
0.2,2657972224
0.2,2658357248
0.3,2659176448
0.0,2659168256
0.2,2659594240
0.2,2660708352
0.0,2661068800
0.3,2661724160
0.2,2661724160
0.2,2662379520
0.5,2662313984
0.0,2661822464
0.2,2662445056
0.3,2661150720
0.3,2661740544
0.0,2662363136
0.3,2661281792
0.3,2661511168
0.0,2662592512
0.2,2662526976
0.2,2662199296
0.0,2661933056
0.3,2661826560
0.2,2661064704
0.2,2661982208
0.5,2662342656
0.0,2662473728
0.0,2662211584
0.2,2661195776
0.3,2661621760
0.2,2662080512
0.2,2662572032
0.0,2662998016
0.2,2662060032
0.3,2662027264
0.2,2662125568
0.0,2661928960
0.0,2660257792
0.2,2658848768
0.2,2657701888
0.3,2658455552
0.0,2659340288
0.0,2659930112
0.5,2660564992
0.2,2660532224
0.0,2660368384
0.0,2660335616
0.3,2660794368
0.2,2659385344
0.2,2660302848
0.2,2660532224
0.3,2660630528
0.0,2660397056
0.3,2660921344
0.0,2661314560
0.2,2661740544
0.0,2662887424
0.2,2663378944
0.2,2662772736
0.2,2662936576
0.5,2663133184
0.2,2663297024
0.0,2662260736
0.3,2661834752
4.4,2657968128
0.3,2658594816
0.3,2659512320
0.3,2660298752
0.8,2660462592
0.6,2661052416
0.2,2661937152
0.6,2662756352
0.0,2661494784
0.6,2662707200
0.0,2662739968
0.0,2663428096
0.0,2662117376
0.2,2660773888
0.2,2658840576
0.0,2659725312
0.2,2660544512
0.3,2661265408
0.0,2661154816
0.3,2662363136
0.2,2662592512
0.0,2662789120
0.0,2663673856
0.2,2663378944
0.5,2663804928
0.0,2661863424
0.5,2661539840
0.3,2662436864
0.5,2663493632
0.0,2664534016
0.0,2664370176
0.2,2664304640
0.0,2664337408
0.3,2663714816
0.2,2663485440
0.0,2664124416
0.3,2664103936
0.2,2664267776
0.2,2664185856
0.2,2664349696
0.2,2664022016
0.0,2664382464
0.2,2663825408
0.3,2664022016
0.5,2664316928
0.0,2662924288
0.0,2662432768
0.2,2663219200
0.3,2662481920
0.0,2662809600
0.2,2663215104
0.2,2662854656
0.0,2661642240
0.2,2660233216
0.2,2660069376
0.5,2660593664
0.2,2660925440
0.3,2661138432
0.3,2661498880
0.2,2661883904
0.3,2663325696
0.2,2662834176
0.2,2662506496
0.3,2662572032
0.2,2663030784
0.3,2663325696
0.2,2663555072
0.3,2662227968
0.0,2662653952
0.3,2662752256
0.2,2663768064
0.2,2663829504
0.0,2663710720
0.2,2663710720
0.2,2664103936
0.2,2664464384
0.3,2663972864
0.2,2663747584
0.0,2664402944
0.3,2664075264
0.0,2664828928
0.2,2664468480
0.2,2664501248
0.2,2664173568
0.3,2663723008
0.2,2663591936
0.0,2663165952
0.2,2662699008
0.2,2662469632
0.2,2662928384
0.2,2662338560
0.3,2660962304
0.0,2659979264
0.0,2658045952
0.3,2659225600
0.0,2659913728
0.2,2660503552
0.2,2660315136
0.3,2659889152
0.3,2660577280
0.2,2661068800
0.2,2661462016
0.5,2661789696
0.2,2662248448
0.3,2663067648
0.0,2663231488
0.3,2663149568
0.0,2663313408
0.0,2663378944
0.3,2663084032
0.3,2663477248
