Total_CPU_percent,Total_Memory_usage
0.2,2682204160
0.0,2682204160
0.2,2682204160
0.0,2682494976
0.0,2682494976
0.0,2682486784
0.3,2682601472
0.0,2682568704
0.0,2682535936
0.0,2682535936
0.0,2682535936
0.0,2682535936
0.0,2682503168
0.3,2681606144
0.0,2681606144
0.0,2681606144
0.3,2682880000
0.0,2682847232
0.2,2682814464
0.0,2682814464
0.0,2682814464
0.2,2682814464
0.0,2682748928
0.0,2681544704
0.0,2681544704
0.2,2681503744
0.2,2681880576
0.0,2681618432
0.2,2681356288
0.0,2681126912
0.0,2681126912
0.0,2681655296
0.0,2681704448
0.0,2680422400
0.2,2680324096
0.3,2681208832
0.0,2681331712
0.2,2681331712
0.0,2681331712
0.0,2681298944
0.2,2681069568
0.2,2682109952
0.2,2680918016
0.0,2680918016
0.0,2680475648
0.0,2681683968
0.2,2681520128
0.0,2681389056
0.0,2681389056
0.0,2681098240
0.0,2680705024
0.2,2681655296
0.0,2680492032
0.2,2680487936
0.0,2679574528
0.3,2680467456
0.3,2681155584
0.2,2681270272
0.0,2681270272
0.0,2681012224
0.0,2681438208
0.2,2681733120
0.0,2680750080
0.0,2681012224
0.0,2680717312
0.3,2680692736
0.2,2680266752
0.2,2679316480
0.0,2678530048
0.2,2678431744
0.0,2678890496
0.2,2679185408
0.0,2679193600
0.0,2679128064
0.2,2678996992
0.2,2680143872
0.5,2680274944
0.0,2680696832
0.0,2680631296
0.2,2680631296
0.5,2680832000
0.2,2681061376
0.0,2679820288
0.0,2679685120
0.2,2679390208
0.2,2680152064
0.2,2680348672
0.0,2680496128
0.0,2680496128
0.0,2680389632
0.5,2680557568
0.2,2680451072
0.3,2680176640
0.0,2679848960
0.2,2680086528
0.2,2680872960
0.0,2681036800
0.0,2681118720
0.0,2681020416
0.2,2680696832
0.3,2680598528
0.5,2680238080
0.2,2680127488
0.0,2680094720
0.2,2680430592
0.5,2679910400
0.3,2678927360
0.0,2677821440
0.0,2677460992
0.2,2677329920
0.5,2678083584
0.3,2678534144
0.2,2678730752
0.0,2678595584
0.3,2678927360
0.6,2679025664
0.2,2679648256
0.0,2679349248
0.0,2679218176
0.2,2678919168
0.6,2679279616
0.0,2678648832
0.0,2678779904
0.0,2678743040
2.6,2677383168
1.4,2677129216
0.3,2677424128
0.3,2677551104
0.0,2677551104
0.6,2677354496
0.5,2677882880
0.5,2677678080
0.3,2677809152
0.2,2677866496
0.6,2678865920
0.3,2679062528
0.3,2679914496
0.0,2679906304
0.0,2679906304
0.2,2679808000
0.0,2680070144
0.3,2679250944
0.2,2679447552
0.0,2679558144
0.3,2679320576
0.0,2678337536
0.5,2677321728
0.0,2676453376
0.0,2676453376
0.3,2677080064
0.3,2677698560
0.0,2677727232
0.2,2677846016
